設置場所名,住所,経度,緯度,投票区
旧本埜第二小学校北側,印西市笠神1747-15地先,140.215557,35.827367,第２１投票区ー２: 旧本埜第二小学校体育館
青木隆治宅前,印西市酒直ト杭76,140.227027,35.825412,第２１投票区ー３: 旧本埜第二小学校体育館
和青年館前,印西市下井338,140.237127,35.820158,第２１投票区ー４: 旧本埜第二小学校体育館
内藤一宅前,印西市安食卜杭102-1地先,140.216924,35.836301,第２１投票区ー５: 旧本埜第二小学校体育館
大瀧神社前,印西市将監235-4地先,140.207738,35.832302,第２１投票区ー６: 旧本埜第二小学校体育館
旧村総合グラウンド前,印西市物木419番地先,140.205374,35.830807,第２１投票区ー７: 旧本埜第二小学校体育館
みのりの広場公園北側,印西市滝野18,140.178822,35.810162,第２２投票区ー１: 牧の原地域交流センター会議室
牧の原公園東側,印西市草深1612-5,140.171621,35.81101,第２２投票区ー２: 牧の原地域交流センター会議室
滝野公園南側,印西市滝野4-2-1,140.171949,35.806434,第２２投票区ー３: 牧の原地域交流センター会議室
滝野小学校前,印西市滝野5-1,140.176354,35.809034,第２２投票区ー４: 牧の原地域交流センター会議室
滝の杜公園東側,印西市滝野6-143,140.174502,35.810295,第２２投票区ー５: 牧の原地域交流センター会議室
牧の原西街区公園南側,印西市牧の原3-109,140.158865,35.807765,第２２投票区ー６: 牧の原地域交流センター会議室
牧の原小学校東側,印西市牧の原3-1-1,140.161698,35.812028,第２２投票区ー７: 牧の原地域交流センター会議室
牧の原公園南側,印西市牧の原5-108,140.167516,35.805958,第２２投票区ー８: 牧の原地域交流センター会議室
牧の原東街区公園北側,印西市牧の原5-3035-25,140.166808,35.809969,第２２投票区ー９: 牧の原地域交流センター会議室
印西西消防署向い,印西市中央北1-3-3,140.117246,35.803166,第２３投票区ー１: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
千葉ニュータウン中央駅北口,印西市中央北1-106,140.115016,35.80169,第２３投票区ー２: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
中央駅前地域交流館前,印西市中央南1-2,140.119164,35.80013,第２３投票区ー３: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
武西学園台街区公園東側,印西市武西学園台1-2,140.112281,35.797329,第２３投票区ー４: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
戸神台西街区公園東側,印西市戸神台2-3-1,140.116389,35.79585,第２３投票区ー５: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
戸神台東街区公園西側,印西市戸神台1-2-5,140.120004,35.796933,第２３投票区ー６: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
千葉ニュータウン中央駅南口,印西市中央南１-436-3,140.115918,35.799864,第２３投票区ー７: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
千葉ニュータウン中央駅北口自転車駐車場前,印西市中央北2-1-1,140.114469,35.800579,第２３投票区ー８: イオンモール千葉ニュータウンシネマ・スポーツ棟１階
笠神旧消防小屋前,印西市笠神,140.205894,35.817569,第２０投票区ー１１: 本埜支所３階多目的スペース
